m_no,goodsno,point,regdt,pet_age,dogname
272071,13217,5.0,2018-04-28 16:44:19.000,6.0,말티즈
177923,19147,2.0,2015-03-20 13:44:44.000,3.0,미니핀
308244,85009,5.0,2015-10-04 13:52:16.000,2.0,시베리안 허스키
623540,85058,5.0,2017-12-10 18:43:00.000,3.0,포메라니안
186992,25417,4.0,2019-06-09 15:40:20.000,8.0,포메라니안
1303,20726,4.0,2018-12-25 15:46:46.000,12.0,푸들
607604,45626,4.0,2017-08-25 16:14:00.000,2.0,말티즈
298906,32825,4.0,2015-06-05 15:15:48.000,3.0,진돗개
418853,22890,5.0,2017-11-27 21:36:35.000,5.0,푸들
547820,85042,5.0,2016-07-31 22:45:48.000,1.0,아메리칸 코카 스파니엘
804984,2519,3.0,2018-02-10 09:31:21.000,4.0,견종모름 (중형견)
88981,62866,4.0,2019-08-20 10:04:43.000,16.0,말티즈
543185,19470,5.0,2017-11-16 16:51:56.000,2.0,푸들
847620,85007,4.0,2018-03-16 14:45:07.000,3.0,포메라니안
550286,36077,5.0,2016-08-11 12:17:46.000,1.0,말티즈
950689,11357,5.0,2020-01-21 22:06:46.000,3.0,보더 콜리
451651,22504,5.0,2016-07-20 14:12:14.000,13.0,닥스훈트
964873,45323,5.0,2019-03-05 19:34:43.000,5.0,푸들
266408,15205,3.0,2017-03-07 12:40:17.000,4.0,말티즈
800820,10870,5.0,2017-09-28 12:56:59.000,1.0,슈나우져(미니어처)
950908,41059,3.0,2019-02-09 00:29:50.000,2.0,말티즈
953743,21649,4.0,2019-08-12 14:03:01.000,5.0,실키 테리어
481082,19698,5.0,2016-02-02 22:05:13.000,2.0,포메라니안
18204,40570,4.0,2015-04-17 17:31:28.000,12.0,시츄
268350,53763,4.0,2018-11-15 17:03:35.000,6.0,푸들
133809,877,4.0,2018-03-23 00:11:04.000,7.0,포메라니안
548570,66478,5.0,2017-05-10 03:38:20.000,3.0,토이 푸들
772250,19309,5.0,2018-02-11 20:30:55.000,13.0,치와와
387533,32831,3.0,2018-08-26 16:44:17.000,6.0,미니어처 푸들
918079,22987,5.0,2019-03-13 08:32:42.000,3.0,미니핀
463807,26150,5.0,2015-12-05 23:34:22.000,1.0,말티즈
622874,45239,3.0,2019-03-28 09:30:37.000,4.0,푸들
831141,31853,5.0,2018-05-06 11:20:30.000,2.0,말티즈
413582,85066,2.0,2016-03-31 23:51:05.000,2.0,푸들
1189237,20414,5.0,2021-11-16 10:54:31.000,1.0,기타견종 (소형견)
461134,84338,5.0,2018-11-19 12:28:33.000,4.0,재패니즈 스피츠
437211,8224,5.0,2018-03-12 19:03:05.000,5.0,포메라니안
534389,32825,5.0,2018-07-10 22:46:29.000,3.0,포메라니안
718868,85021,5.0,2018-02-19 19:30:41.000,3.0,푸들
362999,18284,4.0,2016-08-01 00:23:51.000,1.0,비숑 프리제
407237,33992,5.0,2019-01-18 17:08:15.000,7.0,시츄
247486,15039,2.0,2015-11-19 13:51:33.000,5.0,재패니즈 스피츠
919125,46919,5.0,2018-10-16 19:06:27.000,1.0,프렌치 블독
52666,31868,5.0,2016-03-13 19:16:22.000,12.0,잉글리쉬 코카 스파니엘
436572,24027,4.0,2016-08-24 03:02:46.000,2.0,말티즈
26366,12630,5.0,2017-06-28 01:59:38.000,18.0,말티즈
621671,33995,4.0,2017-02-06 14:06:04.000,17.0,재패니즈 스피츠
66052,18202,4.0,2020-01-25 16:48:40.000,11.0,치와와
488600,26523,1.0,2016-09-08 21:37:17.000,2.0,푸들
691526,45326,5.0,2020-01-06 18:21:05.000,6.0,비숑 프리제
835200,19454,5.0,2018-05-13 21:22:56.000,2.0,풍산개
109238,52200,5.0,2018-05-19 09:24:25.000,9.0,말티즈
162391,18433,5.0,2018-10-23 11:53:32.000,7.0,푸들
19190,2003,3.0,2018-02-05 11:59:11.000,14.0,아메리칸 코카 스파니엘
294057,42911,4.0,2019-09-17 11:00:06.000,6.0,재패니즈 스피츠
608903,85038,5.0,2016-10-16 02:20:10.000,1.0,시바 이누
44456,15041,5.0,2016-05-31 01:01:38.000,8.0,요크셔 테리어
884202,56034,4.0,2021-08-13 02:25:24.000,12.0,말티즈
36839,42179,5.0,2019-10-15 20:34:51.000,13.0,말티즈
149202,43298,5.0,2018-05-28 14:35:51.000,9.0,시츄
1033771,52785,4.0,2019-08-26 18:05:48.000,1.0,비숑 프리제
570233,19692,5.0,2018-07-08 16:34:03.000,3.0,닥스훈트
599114,85752,1.0,2017-02-02 19:39:04.000,2.0,킹 찰스 스파니엘
629393,4113,4.0,2017-10-08 18:44:08.000,4.0,기타견종 (중형견)
735578,10454,5.0,2018-06-27 15:24:16.000,4.0,말티즈
618827,85042,4.0,2017-08-21 16:48:02.000,4.0,포메라니안
820731,36077,3.0,2019-01-16 00:36:02.000,3.0,요크셔 테리어
511094,14290,4.0,2017-01-18 14:12:17.000,3.0,말티즈
